order_id,order_date_us,City,zip_code,restaurant,Delivery,distance_miles,order_amount_usd,delivery_time_min,customer_rating,repeat_customer
43,02/24/2024,Nashua,03060,Home Catering,Self Delivery,8.87,160.79,40,3.3,0
44,03/20/2024,Lowell,01852,Home Catering,Pickup,2.56,62.09,71,4.7,1
45,08/06/2024,Manchester,03103,Home Catering,Pickup,7.53,110.7,57,4.1,1
46,10/26/2024,Nashua,03060,Home Catering,Self Delivery,2.12,78.68,43,3.1,1
47,05/09/2024,Boston,02118,Home Catering,Self Delivery,8.64,114.13,47,4.7,1
48,05/13/2024,Lowell,01852,Home Catering,Pickup,9.89,195.92,76,4.5,1
49,10/01/2024,Cambridge,02139,Home Catering,Self Delivery,1.34,133.48,85,3.4,1
50,08/04/2024,Worcester,01608,Home Catering,Pickup,7.0,152.28,32,4.2,0
51,10/16/2024,Worcester,01608,Home Catering,Self Delivery,5.0,98.23,83,3.5,0
52,07/06/2024,Nashua,03060,Home Catering,Pickup,8.97,141.7,45,4.1,0
53,05/21/2024,Nashua,03060,Home Catering,Pickup,8.82,166.64,28,4.8,1
54,07/22/2024,Salem,01970,Home Catering,Self Delivery,10.97,154.78,75,3.4,1
55,04/14/2024,Portland,04101,Home Catering,Pickup,12.04,44.29,84,4.5,0
56,07/30/2024,Cambridge,02139,Home Catering,Self Delivery,6.48,170.7,40,4.4,1
57,10/09/2024,Boston,02118,Home Catering,Self Delivery,11.34,112.73,56,4.0,1
58,10/12/2024,Springfield,01103,Home Catering,Self Delivery,8.15,109.96,85,4.1,1
59,09/04/2024,Boston,02118,Home Catering,Self Delivery,6.13,181.49,22,3.7,0
60,04/01/2024,Worcester,01608,Home Catering,Pickup,5.06,117.89,42,3.5,1
61,07/08/2024,Salem,01970,Home Catering,Self Delivery,8.82,166.28,60,4.7,0
62,10/13/2024,Portland,04101,Home Catering,Pickup,13.2,120.44,54,4.4,1
63,10/11/2024,Cambridge,02139,Home Catering,Self Delivery,8.35,66.97,63,3.8,0
64,09/04/2024,Portland,04101,Home Catering,Self Delivery,11.02,156.17,46,4.4,1
65,05/09/2024,Concord,03301,Home Catering,Self Delivery,12.37,102.93,60,3.9,1
66,06/06/2024,Springfield,01103,Home Catering,Self Delivery,1.2,36.62,87,3.3,0
67,10/22/2024,Nashua,03060,Home Catering,Self Delivery,6.88,149.96,68,3.5,0
68,06/25/2024,Manchester,03103,Home Catering,Self Delivery,8.14,130.58,85,4.1,1
69,07/22/2024,Lowell,01852,Home Catering,Self Delivery,7.09,134.57,26,3.2,0
70,03/11/2024,Nashua,03060,Home Catering,Pickup,12.78,101.68,74,3.6,0
71,03/01/2024,Nashua,03060,Home Catering,Self Delivery,10.14,50.3,74,3.3,0
72,04/27/2024,Salem,01970,Home Catering,Pickup,10.31,176.27,53,3.0,1
73,08/16/2024,Concord,03301,Home Catering,Pickup,1.7,185.0,87,3.4,0
74,03/23/2024,Lowell,01852,Home Catering,Self Delivery,1.83,63.46,24,3.0,0
75,02/21/2024,Portland,04101,Home Catering,Self Delivery,1.66,158.37,57,4.9,0
76,04/19/2024,Worcester,01608,Home Catering,Self Delivery,4.19,45.89,86,4.0,1
77,09/17/2024,Salem,01970,Home Catering,Self Delivery,8.47,95.94,39,3.1,0
78,07/24/2024,Providence,02903,Home Catering,Self Delivery,5.22,185.65,31,5.0,0
79,06/22/2024,Nashua,03060,Home Catering,Self Delivery,5.14,129.53,35,4.4,0
80,10/08/2024,Nashua,03060,Home Catering,Pickup,3.56,181.58,60,4.7,1
81,01/27/2024,Cambridge,02139,Home Catering,Self Delivery,5.87,197.46,72,4.2,1
82,03/23/2024,Nashua,03060,Home Catering,Self Delivery,7.91,112.25,44,4.7,1
83,07/18/2024,Cambridge,02139,Home Catering,Self Delivery,7.88,176.3,21,4.7,1
84,01/03/2024,Concord,03301,Home Catering,Self Delivery,11.48,53.13,65,4.5,0
85,02/16/2024,Worcester,01608,Home Catering,Self Delivery,5.47,68.99,78,3.2,1
86,03/15/2024,Nashua,03060,Home Catering,Pickup,2.87,184.71,25,3.6,0
87,08/29/2024,Salem,01970,Home Catering,Self Delivery,8.58,63.41,58,3.7,0
88,08/10/2024,Providence,02903,Home Catering,Self Delivery,8.41,156.16,62,4.2,0
89,02/15/2024,Boston,02118,Home Catering,Self Delivery,4.94,144.96,20,3.7,0
90,02/02/2024,Manchester,03103,Home Catering,Self Delivery,8.44,102.42,66,4.9,0
91,05/14/2024,Boston,02118,Home Catering,Pickup,14.46,99.41,34,4.5,1
92,04/23/2024,Cambridge,02139,Home Catering,Pickup,9.03,129.24,68,3.7,0
93,07/08/2024,Springfield,01103,Home Catering,Self Delivery,1.63,43.93,52,4.4,1
94,02/10/2024,Worcester,01608,Home Catering,Self Delivery,11.26,184.67,85,3.1,1
95,01/20/2024,Manchester,03103,Home Catering,Self Delivery,6.51,79.94,69,4.9,0
96,07/15/2024,Worcester,01608,Home Catering,Pickup,3.79,45.21,32,3.8,0
97,07/24/2024,Salem,01970,Home Catering,Self Delivery,11.2,45.61,73,3.9,0
98,09/23/2024,Providence,02903,Home Catering,Pickup,10.1,182.42,49,3.6,0
99,05/26/2024,Salem,01970,Home Catering,Self Delivery,10.88,136.08,45,4.2,1
100,01/30/2024,Concord,03301,Home Catering,Pickup,5.08,199.51,87,3.0,1
101,03/30/2024,Manchester,03103,Home Catering,Self Delivery,3.85,121.0,72,4.1,0
102,09/10/2024,Portland,04101,Home Catering,Self Delivery,9.14,177.6,61,3.4,1
103,08/12/2024,Portland,04101,Home Catering,Self Delivery,2.65,84.55,89,3.7,0
104,01/06/2024,Providence,02903,Home Catering,Self Delivery,7.69,163.75,64,3.7,1
105,04/13/2024,Nashua,03060,Home Catering,Pickup,7.98,136.73,39,4.2,0
106,09/22/2024,Portland,04101,Home Catering,Pickup,9.47,35.95,85,4.6,1
107,05/26/2024,Boston,02118,Home Catering,Self Delivery,3.7,125.06,89,3.4,1
108,04/09/2024,Worcester,01608,Home Catering,Pickup,6.88,36.63,85,4.5,0
109,01/18/2024,Worcester,01608,Home Catering,Self Delivery,12.2,191.4,30,4.5,1
110,09/18/2024,Salem,01970,Home Catering,Pickup,9.18,30.85,39,4.0,1
111,09/21/2024,Concord,03301,Home Catering,Self Delivery,9.15,133.01,35,4.2,0
112,04/28/2024,Nashua,03060,Home Catering,Pickup,14.44,68.36,24,3.3,0
113,03/27/2024,Providence,02903,Home Catering,Self Delivery,14.33,71.46,51,3.4,0
114,01/19/2024,Boston,02118,Home Catering,Self Delivery,8.18,114.88,57,3.1,0
115,07/03/2024,Salem,01970,Home Catering,Self Delivery,2.24,67.27,84,4.9,0
116,05/02/2024,Concord,03301,Home Catering,Self Delivery,3.82,161.74,76,3.3,1
117,01/01/2024,Lowell,01852,Home Catering,Self Delivery,5.81,148.97,72,4.9,0
118,03/21/2024,Portland,04101,Home Catering,Self Delivery,6.36,107.47,56,4.4,1
119,02/14/2024,Cambridge,02139,Home Catering,Self Delivery,5.08,85.57,65,4.2,0
120,05/21/2024,Boston,02118,Home Catering,Self Delivery,13.32,156.19,66,3.8,0
121,07/23/2024,Springfield,01103,Home Catering,Self Delivery,2.36,100.11,28,3.1,1
122,06/29/2024,Providence,02903,Home Catering,Self Delivery,7.27,118.77,57,3.3,1
123,07/21/2024,Springfield,01103,Home Catering,Self Delivery,3.18,84.75,28,3.8,1
124,07/26/2024,Providence,02903,Home Catering,Self Delivery,8.65,140.02,42,3.5,0
125,10/27/2024,Manchester,03103,Home Catering,Self Delivery,13.3,43.02,43,3.6,1
126,04/12/2024,Lowell,01852,Home Catering,Pickup,2.78,105.3,21,3.4,1
127,09/22/2024,Manchester,03103,Home Catering,Self Delivery,9.85,109.09,50,4.8,1
128,01/08/2024,Salem,01970,Home Catering,Pickup,9.64,144.65,79,4.4,1
129,02/05/2024,Concord,03301,Home Catering,Self Delivery,9.53,114.21,73,3.3,0
130,02/16/2024,Concord,03301,Home Catering,Pickup,4.72,105.39,37,3.8,1
131,10/08/2024,Lowell,01852,Home Catering,Pickup,2.9,142.34,67,4.9,1
132,05/25/2024,Manchester,03103,Home Catering,Self Delivery,11.6,59.7,23,4.9,1
133,10/13/2024,Concord,03301,Home Catering,Self Delivery,3.76,125.12,81,3.4,0
134,10/25/2024,Salem,01970,Home Catering,Self Delivery,10.92,45.28,56,4.7,1
135,06/27/2024,Manchester,03103,Home Catering,Self Delivery,14.64,142.15,81,4.8,0
136,06/26/2024,Providence,02903,Home Catering,Self Delivery,10.06,148.2,29,4.2,0
137,05/21/2024,Manchester,03103,Home Catering,Pickup,9.44,120.94,36,4.0,0
138,04/25/2024,Springfield,01103,Home Catering,Self Delivery,4.25,118.34,87,3.6,0
139,04/09/2024,Springfield,01103,Home Catering,Self Delivery,7.93,122.61,46,4.3,1
140,08/20/2024,Boston,02118,Home Catering,Self Delivery,1.06,160.44,85,3.8,1
141,07/25/2024,Providence,02903,Home Catering,Self Delivery,9.6,125.67,43,4.7,0
142,10/21/2024,Cambridge,02139,Home Catering,Self Delivery,3.24,32.52,77,4.3,1
143,01/03/2024,Nashua,03060,Home Catering,Pickup,5.25,151.47,59,3.5,0
144,05/13/2024,Concord,03301,Home Catering,Self Delivery,5.01,86.08,28,3.6,1
145,03/30/2024,Worcester,01608,Home Catering,Self Delivery,1.75,192.44,51,3.3,0
146,07/27/2024,Nashua,03060,Home Catering,Pickup,6.71,108.61,79,3.2,1
147,09/16/2024,Providence,02903,Home Catering,Self Delivery,14.71,174.88,69,3.0,1
148,02/24/2024,Springfield,01103,Home Catering,Pickup,7.66,69.88,44,3.3,0
149,10/13/2024,Nashua,03060,Home Catering,Pickup,9.03,173.53,22,4.9,1
150,02/07/2024,Lowell,01852,Home Catering,Self Delivery,1.22,62.34,52,3.4,1
151,09/14/2024,Salem,01970,Home Catering,Self Delivery,13.73,108.26,64,3.5,1
152,05/30/2024,Portland,04101,Home Catering,Self Delivery,12.38,93.36,43,4.4,1
153,06/23/2024,Worcester,01608,Home Catering,Self Delivery,3.56,56.49,61,3.9,0
154,02/29/2024,Providence,02903,Home Catering,Self Delivery,3.27,100.63,72,3.6,1
155,09/19/2024,Boston,02118,Home Catering,Self Delivery,3.24,123.78,63,4.0,1
156,05/11/2024,Nashua,03060,Home Catering,Self Delivery,5.26,97.87,52,5.0,0
157,10/02/2024,Lowell,01852,Home Catering,Self Delivery,6.26,89.7,72,3.9,1
158,10/21/2024,Cambridge,02139,Home Catering,Pickup,7.24,55.02,59,4.6,0
159,05/08/2024,Nashua,03060,Home Catering,Self Delivery,3.27,168.72,75,4.9,1
160,08/14/2024,Nashua,03060,Home Catering,Pickup,7.82,55.74,36,3.6,1
161,07/12/2024,Manchester,03103,Home Catering,Self Delivery,10.54,57.6,70,3.6,0
162,10/15/2024,Cambridge,02139,Home Catering,Self Delivery,1.08,165.58,67,4.9,0
163,09/04/2024,Nashua,03060,Home Catering,Self Delivery,14.03,118.82,30,4.0,0
164,05/04/2024,Concord,03301,Home Catering,Self Delivery,10.4,101.59,52,3.6,0
165,06/22/2024,Concord,03301,Home Catering,Pickup,5.62,123.74,81,4.8,1
166,08/22/2024,Manchester,03103,Home Catering,Pickup,7.76,86.6,63,3.4,0
167,08/23/2024,Nashua,03060,Home Catering,Self Delivery,8.77,86.16,58,4.4,1
168,10/27/2024,Portland,04101,Home Catering,Self Delivery,2.41,102.77,35,3.1,1
169,01/15/2024,Nashua,03060,Home Catering,Self Delivery,1.88,60.52,57,4.0,0
170,09/03/2024,Boston,02118,Home Catering,Pickup,6.55,125.5,70,4.6,1
171,02/29/2024,Salem,01970,Home Catering,Pickup,14.35,62.08,23,3.7,0
172,05/12/2024,Cambridge,02139,Home Catering,Self Delivery,2.38,47.6,36,3.8,0
173,02/04/2024,Providence,02903,Home Catering,Self Delivery,10.55,169.23,56,3.7,0
174,07/14/2024,Springfield,01103,Home Catering,Pickup,8.45,55.11,49,4.5,0
175,04/22/2024,Springfield,01103,Home Catering,Self Delivery,11.07,72.38,81,4.6,1
176,04/27/2024,Nashua,03060,Home Catering,Pickup,12.55,127.75,86,4.2,0
177,06/10/2024,Boston,02118,Home Catering,Self Delivery,6.21,131.29,50,3.1,1
178,07/30/2024,Worcester,01608,Home Catering,Pickup,3.76,94.03,67,3.6,0
179,06/29/2024,Worcester,01608,Home Catering,Pickup,1.61,93.82,72,3.1,1
180,09/21/2024,Providence,02903,Home Catering,Self Delivery,9.61,146.47,21,3.1,0
181,10/01/2024,Springfield,01103,Home Catering,Self Delivery,14.79,115.22,73,3.2,0
182,01/05/2024,Portland,04101,Home Catering,Self Delivery,7.22,100.67,64,3.8,0
183,05/14/2024,Salem,01970,Home Catering,Self Delivery,11.76,134.21,42,4.2,0
184,05/07/2024,Boston,02118,Home Catering,Pickup,9.67,77.25,89,3.2,1
185,05/27/2024,Worcester,01608,Home Catering,Self Delivery,7.1,160.44,59,4.5,0
186,02/17/2024,Lowell,01852,Home Catering,Pickup,2.56,37.63,25,4.4,0
187,07/23/2024,Concord,03301,Home Catering,Self Delivery,14.72,114.42,45,3.1,0
188,06/24/2024,Nashua,03060,Home Catering,Pickup,4.21,199.0,49,4.9,0
189,02/08/2024,Nashua,03060,Home Catering,Self Delivery,8.57,66.08,47,3.6,1
190,10/10/2024,Worcester,01608,Home Catering,Pickup,8.67,114.16,26,3.9,1
191,04/01/2024,Worcester,01608,Home Catering,Pickup,14.51,187.94,70,4.4,0
192,08/31/2024,Lowell,01852,Home Catering,Self Delivery,6.4,30.75,21,4.2,1
193,06/09/2024,Nashua,03060,Home Catering,Pickup,8.22,40.35,60,4.7,0
194,06/30/2024,Salem,01970,Home Catering,Self Delivery,10.56,165.34,64,4.2,1
195,04/21/2024,Worcester,01608,Home Catering,Self Delivery,8.52,85.37,49,4.6,1
196,10/20/2024,Concord,03301,Home Catering,Pickup,7.67,112.58,88,4.1,0
197,05/17/2024,Cambridge,02139,Home Catering,Self Delivery,9.03,87.8,24,3.2,1
198,04/03/2024,Manchester,03103,Home Catering,Pickup,6.27,162.29,82,4.9,1
199,04/07/2024,Salem,01970,Home Catering,Pickup,12.23,138.39,75,4.4,0
200,09/12/2024,Concord,03301,Home Catering,Self Delivery,14.25,196.78,27,4.4,1
201,04/12/2024,Salem,01970,Home Catering,Pickup,3.52,199.4,48,4.1,1
202,04/30/2024,Salem,01970,Home Catering,Self Delivery,9.77,90.24,83,4.9,0
203,05/03/2024,Concord,03301,Home Catering,Self Delivery,11.46,152.9,69,3.1,0
204,05/15/2024,Boston,02118,Home Catering,Pickup,5.29,174.02,22,3.7,0
205,04/15/2024,Providence,02903,Home Catering,Self Delivery,10.91,182.0,51,3.9,0
206,04/27/2024,Nashua,03060,Home Catering,Self Delivery,10.17,111.24,88,3.9,1
207,04/13/2024,Worcester,01608,Home Catering,Pickup,5.38,63.0,59,3.5,1
208,05/07/2024,Manchester,03103,Home Catering,Self Delivery,3.63,145.71,83,3.1,0
209,07/01/2024,Worcester,01608,Home Catering,Self Delivery,6.14,145.35,54,3.3,0
210,03/20/2024,Salem,01970,Home Catering,Self Delivery,1.67,165.5,71,4.5,1
211,02/24/2024,Nashua,03060,Home Catering,Self Delivery,13.4,78.41,59,4.5,1
212,03/02/2024,Springfield,01103,Home Catering,Self Delivery,2.86,116.53,68,3.5,0
213,02/10/2024,Providence,02903,Home Catering,Pickup,5.13,161.09,86,3.2,0
214,09/09/2024,Worcester,01608,Home Catering,Pickup,3.05,178.44,46,4.8,0
215,01/04/2024,Salem,01970,Home Catering,Self Delivery,9.04,136.25,82,3.3,0
216,10/04/2024,Salem,01970,Home Catering,Self Delivery,12.66,89.46,74,3.0,1
217,01/22/2024,Cambridge,02139,Home Catering,Pickup,12.46,130.83,83,3.1,1
218,09/03/2024,Portland,04101,Home Catering,Self Delivery,1.98,129.2,25,4.5,0
219,07/09/2024,Boston,02118,Home Catering,Pickup,7.9,117.71,63,3.3,0
220,06/10/2024,Lowell,01852,Home Catering,Self Delivery,9.24,67.83,37,3.2,0
221,09/09/2024,Salem,01970,Home Catering,Self Delivery,8.81,76.45,71,4.7,0
222,10/21/2024,Cambridge,02139,Home Catering,Self Delivery,3.22,112.71,28,4.3,1
223,05/20/2024,Providence,02903,Home Catering,Self Delivery,2.22,114.27,62,3.5,0
224,09/08/2024,Springfield,01103,Home Catering,Self Delivery,12.28,42.67,41,3.7,0
225,04/03/2024,Manchester,03103,Home Catering,Self Delivery,10.05,149.94,30,3.8,1
226,09/18/2024,Cambridge,02139,Home Catering,Self Delivery,9.65,44.97,27,3.5,0
227,05/23/2024,Providence,02903,Home Catering,Self Delivery,6.0,183.32,26,5.0,0
228,07/22/2024,Concord,03301,Home Catering,Self Delivery,4.68,80.06,46,4.5,0
229,04/23/2024,Boston,02118,Home Catering,Self Delivery,6.25,182.76,32,4.5,0
230,10/22/2024,Salem,01970,Home Catering,Self Delivery,13.15,54.61,26,3.2,0
231,03/06/2024,Manchester,03103,Home Catering,Self Delivery,9.13,63.65,84,4.9,1
232,01/28/2024,Nashua,03060,Home Catering,Self Delivery,12.56,126.0,85,3.9,1
233,09/26/2024,Cambridge,02139,Home Catering,Self Delivery,2.58,193.65,53,4.8,0
234,08/04/2024,Portland,04101,Home Catering,Self Delivery,13.89,44.95,23,4.1,1
235,09/01/2024,Nashua,03060,Home Catering,Self Delivery,2.81,196.59,60,3.3,0
236,10/03/2024,Boston,02118,Home Catering,Self Delivery,9.26,105.87,85,4.6,0
237,01/17/2024,Concord,03301,Home Catering,Self Delivery,8.05,163.82,44,3.4,0
238,09/14/2024,Nashua,03060,Home Catering,Self Delivery,10.48,55.71,51,3.8,1
239,06/26/2024,Cambridge,02139,Home Catering,Self Delivery,10.29,129.35,50,3.3,1
240,07/20/2024,Cambridge,02139,Home Catering,Pickup,8.54,40.23,42,3.4,1
241,03/30/2024,Worcester,01608,Home Catering,Pickup,14.21,57.34,57,4.7,1
242,08/22/2024,Cambridge,02139,Home Catering,Pickup,2.93,149.89,61,3.5,1
243,03/02/2024,Providence,02903,Home Catering,Self Delivery,9.49,104.18,39,4.7,1
244,09/22/2024,Salem,01970,Home Catering,Self Delivery,13.29,196.47,48,3.7,0
245,08/23/2024,Nashua,03060,Home Catering,Self Delivery,7.72,121.91,82,4.7,0
246,06/10/2024,Portland,04101,Home Catering,Self Delivery,3.0,142.98,66,4.2,0
247,01/05/2024,Nashua,03060,Home Catering,Self Delivery,8.55,64.2,54,4.2,0
248,01/07/2024,Worcester,01608,Home Catering,Self Delivery,2.95,33.61,50,3.8,0
249,04/17/2024,Portland,04101,Home Catering,Self Delivery,10.36,189.4,87,3.9,0
250,07/13/2024,Lowell,01852,Home Catering,Self Delivery,2.81,40.65,36,3.4,0
251,10/24/2024,Lowell,01852,Home Catering,Self Delivery,13.56,125.77,46,4.6,1
252,02/21/2024,Springfield,01103,Home Catering,Self Delivery,4.17,85.47,37,3.5,0
253,06/15/2024,Manchester,03103,Home Catering,Self Delivery,12.49,92.45,51,4.9,1
254,07/04/2024,Providence,02903,Home Catering,Self Delivery,13.46,128.16,51,4.8,1
255,05/12/2024,Salem,01970,Home Catering,Self Delivery,5.84,73.17,70,3.8,1
256,04/05/2024,Salem,01970,Home Catering,Self Delivery,13.78,176.14,20,4.8,1
257,10/07/2024,Manchester,03103,Home Catering,Self Delivery,4.77,173.19,87,4.5,0
258,05/14/2024,Nashua,03060,Home Catering,Self Delivery,14.91,38.71,54,3.5,1
259,05/01/2024,Nashua,03060,Home Catering,Self Delivery,1.1,148.47,30,4.6,0
260,05/17/2024,Salem,01970,Home Catering,Self Delivery,12.53,57.67,57,5.0,0
261,08/29/2024,Concord,03301,Home Catering,Pickup,13.13,134.54,85,4.8,0
262,06/24/2024,Concord,03301,Home Catering,Self Delivery,11.61,111.31,20,3.0,0
263,07/06/2024,Worcester,01608,Home Catering,Self Delivery,3.55,150.61,25,4.4,1
264,04/04/2024,Boston,02118,Home Catering,Pickup,1.84,72.43,62,4.6,1
265,09/12/2024,Concord,03301,Home Catering,Self Delivery,2.88,164.63,52,3.5,0
266,08/05/2024,Portland,04101,Home Catering,Self Delivery,10.25,160.22,74,4.6,1
267,04/17/2024,Cambridge,02139,Home Catering,Pickup,12.4,74.26,23,4.8,0
268,08/02/2024,Salem,01970,Home Catering,Pickup,4.45,150.07,56,3.1,0
269,07/09/2024,Portland,04101,Home Catering,Pickup,11.63,49.08,65,3.0,1
270,07/05/2024,Manchester,03103,Home Catering,Self Delivery,6.75,194.1,47,3.8,1
271,07/24/2024,Springfield,01103,Home Catering,Self Delivery,5.44,56.38,60,4.2,0
272,05/23/2024,Lowell,01852,Home Catering,Pickup,14.54,75.91,74,3.4,0
273,08/18/2024,Portland,04101,Home Catering,Self Delivery,11.8,63.34,52,4.6,0
274,04/02/2024,Salem,01970,Home Catering,Self Delivery,1.72,148.88,63,3.3,0
275,10/19/2024,Boston,02118,Home Catering,Pickup,12.53,190.77,42,4.3,0
276,03/08/2024,Boston,02118,Home Catering,Pickup,7.63,101.39,21,3.1,0
277,10/21/2024,Boston,02118,Home Catering,Self Delivery,13.83,93.06,34,4.0,0
278,04/27/2024,Cambridge,02139,Home Catering,Self Delivery,11.5,147.73,56,4.5,1
279,02/21/2024,Nashua,03060,Home Catering,Self Delivery,11.94,31.0,65,4.0,1
280,05/18/2024,Cambridge,02139,Home Catering,Self Delivery,13.49,46.36,73,4.8,0
281,04/30/2024,Portland,04101,Home Catering,Self Delivery,3.74,85.43,51,3.5,0
282,10/11/2024,Nashua,03060,Home Catering,Self Delivery,13.54,110.55,62,4.4,1
283,08/09/2024,Cambridge,02139,Home Catering,Pickup,4.89,148.76,31,4.3,1
284,07/14/2024,Nashua,03060,Home Catering,Self Delivery,14.47,159.32,33,4.2,1
285,04/10/2024,Providence,02903,Home Catering,Self Delivery,13.09,178.9,46,4.5,0
286,03/15/2024,Concord,03301,Home Catering,Self Delivery,13.56,180.54,60,3.1,1
287,03/17/2024,Concord,03301,Home Catering,Self Delivery,13.48,65.56,85,4.6,0
288,08/30/2024,Boston,02118,Home Catering,Self Delivery,9.55,80.33,72,3.9,1
289,01/05/2024,Worcester,01608,Home Catering,Self Delivery,13.25,184.46,73,4.3,1
290,03/31/2024,Lowell,01852,Home Catering,Self Delivery,4.84,132.54,23,4.8,0
291,08/03/2024,Manchester,03103,Home Catering,Pickup,5.19,173.74,42,3.2,0
292,09/12/2024,Springfield,01103,Home Catering,Self Delivery,14.2,135.66,80,4.1,1
293,03/09/2024,Portland,04101,Home Catering,Pickup,11.76,137.4,46,3.6,1
294,09/21/2024,Nashua,03060,Home Catering,Self Delivery,11.23,61.02,62,4.8,1
295,09/30/2024,Springfield,01103,Home Catering,Self Delivery,4.61,66.84,49,4.4,0
296,06/10/2024,Cambridge,02139,Home Catering,Self Delivery,4.08,127.81,55,3.8,1
297,09/06/2024,Worcester,01608,Home Catering,Pickup,11.91,133.93,51,4.1,1
298,06/02/2024,Manchester,03103,Home Catering,Pickup,5.34,76.17,88,3.5,1
299,05/08/2024,Manchester,03103,Home Catering,Self Delivery,3.38,81.72,63,3.1,0
300,10/14/2024,Concord,03301,Home Catering,Self Delivery,14.33,102.71,43,3.7,1
301,10/17/2024,Concord,03301,Home Catering,Self Delivery,7.01,168.65,27,4.2,1
302,01/25/2024,Cambridge,02139,Home Catering,Self Delivery,5.24,95.19,64,5.0,1
303,07/22/2024,Concord,03301,Home Catering,Self Delivery,14.22,67.73,81,3.4,1
304,02/20/2024,Cambridge,02139,Home Catering,Pickup,5.09,111.56,43,5.0,0
305,03/24/2024,Boston,02118,Home Catering,Pickup,2.6,130.9,58,4.3,1
306,01/31/2024,Boston,02118,Home Catering,Self Delivery,2.11,190.71,27,4.5,1
307,04/20/2024,Lowell,01852,Home Catering,Pickup,2.7,58.3,56,3.3,1
308,05/10/2024,Concord,03301,Home Catering,Self Delivery,9.43,93.68,54,4.8,0
