order_id,order_date_us,City,zip_code,restaurant,Delivery,distance_miles,order_amount_usd,delivery_time_min,customer_rating,repeat_customer,num_past_orders,days_since_last_order,order_frequency_90d
42,07/04/2024,Manchester,3103,Home Catering,Pickup,10.4,45.85,84,3.3,0,3,71,2
43,02/24/2024,Nashua,3060,Home Catering,Self Delivery,8.87,160.79,40,3.3,0,5,33,1
44,03/20/2024,Lowell,1852,Home Catering,Pickup,2.56,62.09,71,4.7,1,5,42,1
45,08/06/2024,Manchester,3103,Home Catering,Pickup,7.53,110.7,57,4.1,0,3,70,0
46,10/26/2024,Nashua,3060,Home Catering,Self Delivery,2.12,78.68,43,3.1,0,2,74,2
47,05/09/2024,Boston,2118,Home Catering,Self Delivery,8.64,114.13,47,4.7,1,3,20,2
48,05/13/2024,Lowell,1852,Home Catering,Pickup,9.89,195.92,76,4.5,1,3,46,2
49,10/01/2024,Cambridge,2139,Home Catering,Self Delivery,1.34,133.48,85,3.4,0,1,60,1
50,08/04/2024,Worcester,1608,Home Catering,Pickup,7.0,152.28,32,4.2,1,6,52,1
51,10/16/2024,Worcester,1608,Home Catering,Self Delivery,5.0,98.23,83,3.5,1,1,5,1
52,07/06/2024,Nashua,3060,Home Catering,Pickup,8.97,141.7,45,4.1,1,5,60,2
53,05/21/2024,Nashua,3060,Home Catering,Pickup,8.82,166.64,28,4.8,1,4,75,3
54,07/22/2024,Salem,1970,Home Catering,Self Delivery,10.97,154.78,75,3.4,0,3,42,4
55,04/14/2024,Portland,4101,Home Catering,Pickup,12.04,44.29,84,4.5,0,2,39,0
56,07/30/2024,Cambridge,2139,Home Catering,Self Delivery,6.48,170.7,40,4.4,1,3,39,2
57,10/09/2024,Boston,2118,Home Catering,Self Delivery,11.34,112.73,56,4.0,1,2,85,2
58,10/12/2024,Springfield,1103,Home Catering,Self Delivery,8.15,109.96,85,4.1,1,6,68,2
59,09/04/2024,Boston,2118,Home Catering,Self Delivery,6.13,181.49,22,3.7,0,2,67,1
60,04/01/2024,Worcester,1608,Home Catering,Pickup,5.06,117.89,42,3.5,1,6,57,2
61,07/08/2024,Salem,1970,Home Catering,Self Delivery,8.82,166.28,60,4.7,0,3,31,3
62,10/13/2024,Portland,4101,Home Catering,Pickup,13.2,120.44,54,4.4,0,0,50,1
63,10/11/2024,Cambridge,2139,Home Catering,Self Delivery,8.35,66.97,63,3.8,0,5,58,0
64,09/04/2024,Portland,4101,Home Catering,Self Delivery,11.02,156.17,46,4.4,0,0,65,1
65,05/09/2024,Concord,3301,Home Catering,Self Delivery,12.37,102.93,60,3.9,0,6,80,2
66,06/06/2024,Springfield,1103,Home Catering,Self Delivery,1.2,36.62,87,3.3,0,2,82,0
67,10/22/2024,Nashua,3060,Home Catering,Self Delivery,6.88,149.96,68,3.5,1,4,11,4
68,06/25/2024,Manchester,3103,Home Catering,Self Delivery,8.14,130.58,85,4.1,0,3,59,1
69,07/22/2024,Lowell,1852,Home Catering,Self Delivery,7.09,134.57,26,3.2,1,5,64,2
70,03/11/2024,Nashua,3060,Home Catering,Pickup,12.78,101.68,74,3.6,0,8,57,3
71,03/01/2024,Nashua,3060,Home Catering,Self Delivery,10.14,50.3,74,3.3,0,4,37,2
72,04/27/2024,Salem,1970,Home Catering,Pickup,10.31,176.27,53,3.0,0,1,113,1
73,08/16/2024,Concord,3301,Home Catering,Pickup,1.7,185.0,87,3.4,1,3,24,2
74,03/23/2024,Lowell,1852,Home Catering,Self Delivery,1.83,63.46,24,3.0,0,0,33,1
75,02/21/2024,Portland,4101,Home Catering,Self Delivery,1.66,158.37,57,4.9,0,0,59,1
76,04/19/2024,Worcester,1608,Home Catering,Self Delivery,4.19,45.89,86,4.0,0,2,97,1
77,09/17/2024,Salem,1970,Home Catering,Self Delivery,8.47,95.94,39,3.1,0,4,38,1
78,07/24/2024,Providence,2903,Home Catering,Self Delivery,5.22,185.65,31,5.0,1,1,54,0
79,06/22/2024,Nashua,3060,Home Catering,Self Delivery,5.14,129.53,35,4.4,1,5,81,0
80,10/08/2024,Nashua,3060,Home Catering,Pickup,3.56,181.58,60,4.7,1,3,39,4
81,01/27/2024,Cambridge,2139,Home Catering,Self Delivery,5.87,197.46,72,4.2,1,0,43,2
82,03/23/2024,Nashua,3060,Home Catering,Self Delivery,7.91,112.25,44,4.7,1,4,51,4
83,07/18/2024,Cambridge,2139,Home Catering,Self Delivery,7.88,176.3,21,4.7,0,1,65,0
84,01/03/2024,Concord,3301,Home Catering,Self Delivery,11.48,53.13,65,4.5,1,6,60,4
85,02/16/2024,Worcester,1608,Home Catering,Self Delivery,5.47,68.99,78,3.2,0,3,85,0
86,03/15/2024,Nashua,3060,Home Catering,Pickup,2.87,184.71,25,3.6,1,1,56,2
87,08/29/2024,Salem,1970,Home Catering,Self Delivery,8.58,63.41,58,3.7,0,1,60,1
88,08/10/2024,Providence,2903,Home Catering,Self Delivery,8.41,156.16,62,4.2,1,0,59,1
89,02/15/2024,Boston,2118,Home Catering,Self Delivery,4.94,144.96,20,3.7,0,3,59,2
90,02/02/2024,Manchester,3103,Home Catering,Self Delivery,8.44,102.42,66,4.9,1,2,56,1
91,05/14/2024,Boston,2118,Home Catering,Pickup,14.46,99.41,34,4.5,1,4,49,2
92,04/23/2024,Cambridge,2139,Home Catering,Pickup,9.03,129.24,68,3.7,1,5,73,2
93,07/08/2024,Springfield,1103,Home Catering,Self Delivery,1.63,43.93,52,4.4,1,1,90,0
94,02/10/2024,Worcester,1608,Home Catering,Self Delivery,11.26,184.67,85,3.1,0,0,24,1
95,01/20/2024,Manchester,3103,Home Catering,Self Delivery,6.51,79.94,69,4.9,1,5,60,0
96,07/15/2024,Worcester,1608,Home Catering,Pickup,3.79,45.21,32,3.8,0,5,36,2
97,07/24/2024,Salem,1970,Home Catering,Self Delivery,11.2,45.61,73,3.9,0,1,53,0
98,09/23/2024,Providence,2903,Home Catering,Pickup,10.1,182.42,49,3.6,0,0,63,1
99,05/26/2024,Salem,1970,Home Catering,Self Delivery,10.88,136.08,45,4.2,0,2,63,2
100,01/30/2024,Concord,3301,Home Catering,Pickup,5.08,199.51,87,3.0,0,2,57,0
101,03/30/2024,Manchester,3103,Home Catering,Self Delivery,3.85,121.0,72,4.1,1,2,11,2
102,09/10/2024,Portland,4101,Home Catering,Self Delivery,9.14,177.6,61,3.4,0,6,35,1
103,08/12/2024,Portland,4101,Home Catering,Self Delivery,2.65,84.55,89,3.7,1,6,57,4
104,01/06/2024,Providence,2903,Home Catering,Self Delivery,7.69,163.75,64,3.7,1,5,0,2
105,04/13/2024,Nashua,3060,Home Catering,Pickup,7.98,136.73,39,4.2,1,5,73,2
106,09/22/2024,Portland,4101,Home Catering,Pickup,9.47,35.95,85,4.6,0,0,70,0
107,05/26/2024,Boston,2118,Home Catering,Self Delivery,3.7,125.06,89,3.4,0,2,76,2
108,04/09/2024,Worcester,1608,Home Catering,Pickup,6.88,36.63,85,4.5,1,5,46,2
109,01/18/2024,Worcester,1608,Home Catering,Self Delivery,12.2,191.4,30,4.5,1,5,8,2
110,09/18/2024,Salem,1970,Home Catering,Pickup,9.18,30.85,39,4.0,0,1,68,0
111,09/21/2024,Concord,3301,Home Catering,Self Delivery,9.15,133.01,35,4.2,0,4,75,2
112,04/28/2024,Nashua,3060,Home Catering,Pickup,14.44,68.36,24,3.3,0,3,78,0
113,03/27/2024,Providence,2903,Home Catering,Self Delivery,14.33,71.46,51,3.4,0,2,41,1
114,01/19/2024,Boston,2118,Home Catering,Self Delivery,8.18,114.88,57,3.1,0,2,61,0
115,07/03/2024,Salem,1970,Home Catering,Self Delivery,2.24,67.27,84,4.9,1,2,34,3
116,05/02/2024,Concord,3301,Home Catering,Self Delivery,3.82,161.74,76,3.3,1,6,33,2
117,01/01/2024,Lowell,1852,Home Catering,Self Delivery,5.81,148.97,72,4.9,1,4,74,1
118,03/21/2024,Portland,4101,Home Catering,Self Delivery,6.36,107.47,56,4.4,0,1,36,0
119,02/14/2024,Cambridge,2139,Home Catering,Self Delivery,5.08,85.57,65,4.2,0,1,42,0
120,05/21/2024,Boston,2118,Home Catering,Self Delivery,13.32,156.19,66,3.8,0,1,37,0
121,07/23/2024,Springfield,1103,Home Catering,Self Delivery,2.36,100.11,28,3.1,0,5,30,0
122,06/29/2024,Providence,2903,Home Catering,Self Delivery,7.27,118.77,57,3.3,0,3,52,2
123,07/21/2024,Springfield,1103,Home Catering,Self Delivery,3.18,84.75,28,3.8,1,1,83,0
124,07/26/2024,Providence,2903,Home Catering,Self Delivery,8.65,140.02,42,3.5,0,3,46,2
125,10/27/2024,Manchester,3103,Home Catering,Self Delivery,13.3,43.02,43,3.6,1,6,14,3
126,04/12/2024,Lowell,1852,Home Catering,Pickup,2.78,105.3,21,3.4,0,2,71,1
127,09/22/2024,Manchester,3103,Home Catering,Self Delivery,9.85,109.09,50,4.8,0,5,83,2
128,01/08/2024,Salem,1970,Home Catering,Pickup,9.64,144.65,79,4.4,0,2,47,0
129,02/05/2024,Concord,3301,Home Catering,Self Delivery,9.53,114.21,73,3.3,0,1,50,0
130,02/16/2024,Concord,3301,Home Catering,Pickup,4.72,105.39,37,3.8,1,7,50,4
131,10/08/2024,Lowell,1852,Home Catering,Pickup,2.9,142.34,67,4.9,1,8,87,1
132,05/25/2024,Manchester,3103,Home Catering,Self Delivery,11.6,59.7,23,4.9,1,0,49,0
133,10/13/2024,Concord,3301,Home Catering,Self Delivery,3.76,125.12,81,3.4,0,3,33,0
134,10/25/2024,Salem,1970,Home Catering,Self Delivery,10.92,45.28,56,4.7,1,6,62,2
135,06/27/2024,Manchester,3103,Home Catering,Self Delivery,14.64,142.15,81,4.8,0,1,70,1
136,06/26/2024,Providence,2903,Home Catering,Self Delivery,10.06,148.2,29,4.2,1,9,45,3
137,05/21/2024,Manchester,3103,Home Catering,Pickup,9.44,120.94,36,4.0,1,3,38,2
138,04/25/2024,Springfield,1103,Home Catering,Self Delivery,4.25,118.34,87,3.6,0,3,79,0
139,04/09/2024,Springfield,1103,Home Catering,Self Delivery,7.93,122.61,46,4.3,1,6,55,3
140,08/20/2024,Boston,2118,Home Catering,Self Delivery,1.06,160.44,85,3.8,1,2,44,0
141,07/25/2024,Providence,2903,Home Catering,Self Delivery,9.6,125.67,43,4.7,0,0,60,0
142,10/21/2024,Cambridge,2139,Home Catering,Self Delivery,3.24,32.52,77,4.3,0,4,27,1
143,01/03/2024,Nashua,3060,Home Catering,Pickup,5.25,151.47,59,3.5,0,0,73,0
144,05/13/2024,Concord,3301,Home Catering,Self Delivery,5.01,86.08,28,3.6,1,3,44,2
145,03/30/2024,Worcester,1608,Home Catering,Self Delivery,1.75,192.44,51,3.3,1,5,31,4
146,07/27/2024,Nashua,3060,Home Catering,Pickup,6.71,108.61,79,3.2,1,5,49,2
147,09/16/2024,Providence,2903,Home Catering,Self Delivery,14.71,174.88,69,3.0,0,4,55,1
148,02/24/2024,Springfield,1103,Home Catering,Pickup,7.66,69.88,44,3.3,0,1,72,1
149,10/13/2024,Nashua,3060,Home Catering,Pickup,9.03,173.53,22,4.9,1,1,61,2
150,02/07/2024,Lowell,1852,Home Catering,Self Delivery,1.22,62.34,52,3.4,0,1,46,2
151,09/14/2024,Salem,1970,Home Catering,Self Delivery,13.73,108.26,64,3.5,0,2,70,1
152,05/30/2024,Portland,4101,Home Catering,Self Delivery,12.38,93.36,43,4.4,0,3,63,1
153,06/23/2024,Worcester,1608,Home Catering,Self Delivery,3.56,56.49,61,3.9,0,1,36,3
154,02/29/2024,Providence,2903,Home Catering,Self Delivery,3.27,100.63,72,3.6,0,1,57,0
155,09/19/2024,Boston,2118,Home Catering,Self Delivery,3.24,123.78,63,4.0,0,1,52,1
156,05/11/2024,Nashua,3060,Home Catering,Self Delivery,5.26,97.87,52,5.0,0,2,65,1
157,10/02/2024,Lowell,1852,Home Catering,Self Delivery,6.26,89.7,72,3.9,0,3,42,2
158,10/21/2024,Cambridge,2139,Home Catering,Pickup,7.24,55.02,59,4.6,0,2,47,1
159,05/08/2024,Nashua,3060,Home Catering,Self Delivery,3.27,168.72,75,4.9,0,2,99,0
160,08/14/2024,Nashua,3060,Home Catering,Pickup,7.82,55.74,36,3.6,0,3,78,0
161,07/12/2024,Manchester,3103,Home Catering,Self Delivery,10.54,57.6,70,3.6,0,2,39,1
162,10/15/2024,Cambridge,2139,Home Catering,Self Delivery,1.08,165.58,67,4.9,1,4,61,2
163,09/04/2024,Nashua,3060,Home Catering,Self Delivery,14.03,118.82,30,4.0,0,4,57,1
164,05/04/2024,Concord,3301,Home Catering,Self Delivery,10.4,101.59,52,3.6,0,1,67,0
165,06/22/2024,Concord,3301,Home Catering,Pickup,5.62,123.74,81,4.8,1,2,52,2
166,08/22/2024,Manchester,3103,Home Catering,Pickup,7.76,86.6,63,3.4,0,1,73,2
167,08/23/2024,Nashua,3060,Home Catering,Self Delivery,8.77,86.16,58,4.4,1,2,66,0
168,10/27/2024,Portland,4101,Home Catering,Self Delivery,2.41,102.77,35,3.1,0,3,58,0
169,01/15/2024,Nashua,3060,Home Catering,Self Delivery,1.88,60.52,57,4.0,1,2,65,3
170,09/03/2024,Boston,2118,Home Catering,Pickup,6.55,125.5,70,4.6,1,4,59,1
171,02/29/2024,Salem,1970,Home Catering,Pickup,14.35,62.08,23,3.7,0,3,47,3
172,05/12/2024,Cambridge,2139,Home Catering,Self Delivery,2.38,47.6,36,3.8,1,4,51,3
173,02/04/2024,Providence,2903,Home Catering,Self Delivery,10.55,169.23,56,3.7,0,1,58,0
174,07/14/2024,Springfield,1103,Home Catering,Pickup,8.45,55.11,49,4.5,0,1,60,0
175,04/22/2024,Springfield,1103,Home Catering,Self Delivery,11.07,72.38,81,4.6,0,1,48,0
176,04/27/2024,Nashua,3060,Home Catering,Pickup,12.55,127.75,86,4.2,0,2,44,0
177,06/10/2024,Boston,2118,Home Catering,Self Delivery,6.21,131.29,50,3.1,0,2,35,1
178,07/30/2024,Worcester,1608,Home Catering,Pickup,3.76,94.03,67,3.6,0,5,22,2
179,06/29/2024,Worcester,1608,Home Catering,Pickup,1.61,93.82,72,3.1,1,5,42,0
180,09/21/2024,Providence,2903,Home Catering,Self Delivery,9.61,146.47,21,3.1,1,2,51,1
181,10/01/2024,Springfield,1103,Home Catering,Self Delivery,14.79,115.22,73,3.2,0,2,62,0
182,01/05/2024,Portland,4101,Home Catering,Self Delivery,7.22,100.67,64,3.8,1,3,34,4
183,05/14/2024,Salem,1970,Home Catering,Self Delivery,11.76,134.21,42,4.2,0,2,7,1
184,05/07/2024,Boston,2118,Home Catering,Pickup,9.67,77.25,89,3.2,0,1,86,1
185,05/27/2024,Worcester,1608,Home Catering,Self Delivery,7.1,160.44,59,4.5,0,2,76,1
186,02/17/2024,Lowell,1852,Home Catering,Pickup,2.56,37.63,25,4.4,1,5,38,6
187,07/23/2024,Concord,3301,Home Catering,Self Delivery,14.72,114.42,45,3.1,1,5,78,4
188,06/24/2024,Nashua,3060,Home Catering,Pickup,4.21,199.0,49,4.9,1,3,25,3
189,02/08/2024,Nashua,3060,Home Catering,Self Delivery,8.57,66.08,47,3.6,1,4,77,4
190,10/10/2024,Worcester,1608,Home Catering,Pickup,8.67,114.16,26,3.9,0,1,35,1
191,04/01/2024,Worcester,1608,Home Catering,Pickup,14.51,187.94,70,4.4,0,3,59,1
192,08/31/2024,Lowell,1852,Home Catering,Self Delivery,6.4,30.75,21,4.2,1,4,24,2
193,06/09/2024,Nashua,3060,Home Catering,Pickup,8.22,40.35,60,4.7,1,3,55,1
194,06/30/2024,Salem,1970,Home Catering,Self Delivery,10.56,165.34,64,4.2,1,3,62,1
195,04/21/2024,Worcester,1608,Home Catering,Self Delivery,8.52,85.37,49,4.6,1,3,56,0
196,10/20/2024,Concord,3301,Home Catering,Pickup,7.67,112.58,88,4.1,1,3,69,1
197,05/17/2024,Cambridge,2139,Home Catering,Self Delivery,9.03,87.8,24,3.2,1,5,56,1
198,04/03/2024,Manchester,3103,Home Catering,Pickup,6.27,162.29,82,4.9,1,3,39,2
199,04/07/2024,Salem,1970,Home Catering,Pickup,12.23,138.39,75,4.4,0,5,38,2
200,09/12/2024,Concord,3301,Home Catering,Self Delivery,14.25,196.78,27,4.4,0,2,76,0
201,04/12/2024,Salem,1970,Home Catering,Pickup,3.52,199.4,48,4.1,1,2,41,1
202,04/30/2024,Salem,1970,Home Catering,Self Delivery,9.77,90.24,83,4.9,1,5,63,3
203,05/03/2024,Concord,3301,Home Catering,Self Delivery,11.46,152.9,69,3.1,0,3,79,1
204,05/15/2024,Boston,2118,Home Catering,Pickup,5.29,174.02,22,3.7,1,3,21,1
205,04/15/2024,Providence,2903,Home Catering,Self Delivery,10.91,182.0,51,3.9,0,3,82,0
206,04/27/2024,Nashua,3060,Home Catering,Self Delivery,10.17,111.24,88,3.9,1,6,86,3
207,04/13/2024,Worcester,1608,Home Catering,Pickup,5.38,63.0,59,3.5,1,6,50,3
208,05/07/2024,Manchester,3103,Home Catering,Self Delivery,3.63,145.71,83,3.1,0,3,66,1
209,07/01/2024,Worcester,1608,Home Catering,Self Delivery,6.14,145.35,54,3.3,0,5,55,5
210,03/20/2024,Salem,1970,Home Catering,Self Delivery,1.67,165.5,71,4.5,1,2,34,4
211,02/24/2024,Nashua,3060,Home Catering,Self Delivery,13.4,78.41,59,4.5,1,4,53,2
212,03/02/2024,Springfield,1103,Home Catering,Self Delivery,2.86,116.53,68,3.5,0,3,33,0
213,02/10/2024,Providence,2903,Home Catering,Pickup,5.13,161.09,86,3.2,0,2,62,0
214,09/09/2024,Worcester,1608,Home Catering,Pickup,3.05,178.44,46,4.8,0,4,59,2
215,01/04/2024,Salem,1970,Home Catering,Self Delivery,9.04,136.25,82,3.3,0,1,65,1
216,10/04/2024,Salem,1970,Home Catering,Self Delivery,12.66,89.46,74,3.0,0,3,76,1
217,01/22/2024,Cambridge,2139,Home Catering,Pickup,12.46,130.83,83,3.1,0,1,44,0
218,09/03/2024,Portland,4101,Home Catering,Self Delivery,1.98,129.2,25,4.5,1,3,34,3
219,07/09/2024,Boston,2118,Home Catering,Pickup,7.9,117.71,63,3.3,0,3,92,1
220,06/10/2024,Lowell,1852,Home Catering,Self Delivery,9.24,67.83,37,3.2,0,1,56,0
221,09/09/2024,Salem,1970,Home Catering,Self Delivery,8.81,76.45,71,4.7,0,2,64,0
222,10/21/2024,Cambridge,2139,Home Catering,Self Delivery,3.22,112.71,28,4.3,0,4,58,0
223,05/20/2024,Providence,2903,Home Catering,Self Delivery,2.22,114.27,62,3.5,0,2,43,0
224,09/08/2024,Springfield,1103,Home Catering,Self Delivery,12.28,42.67,41,3.7,1,5,82,2
225,04/03/2024,Manchester,3103,Home Catering,Self Delivery,10.05,149.94,30,3.8,0,0,49,0
226,09/18/2024,Cambridge,2139,Home Catering,Self Delivery,9.65,44.97,27,3.5,0,3,37,0
227,05/23/2024,Providence,2903,Home Catering,Self Delivery,6.0,183.32,26,5.0,1,2,45,1
228,07/22/2024,Concord,3301,Home Catering,Self Delivery,4.68,80.06,46,4.5,0,0,9,2
229,04/23/2024,Boston,2118,Home Catering,Self Delivery,6.25,182.76,32,4.5,0,2,41,1
230,10/22/2024,Salem,1970,Home Catering,Self Delivery,13.15,54.61,26,3.2,0,2,35,1
231,03/06/2024,Manchester,3103,Home Catering,Self Delivery,9.13,63.65,84,4.9,0,4,67,1
232,01/28/2024,Nashua,3060,Home Catering,Self Delivery,12.56,126.0,85,3.9,0,2,41,1
233,09/26/2024,Cambridge,2139,Home Catering,Self Delivery,2.58,193.65,53,4.8,1,1,77,0
234,08/04/2024,Portland,4101,Home Catering,Self Delivery,13.89,44.95,23,4.1,0,1,82,1
235,09/01/2024,Nashua,3060,Home Catering,Self Delivery,2.81,196.59,60,3.3,0,0,70,1
236,10/03/2024,Boston,2118,Home Catering,Self Delivery,9.26,105.87,85,4.6,0,2,45,2
237,01/17/2024,Concord,3301,Home Catering,Self Delivery,8.05,163.82,44,3.4,0,4,47,3
238,09/14/2024,Nashua,3060,Home Catering,Self Delivery,10.48,55.71,51,3.8,0,3,14,3
239,06/26/2024,Cambridge,2139,Home Catering,Self Delivery,10.29,129.35,50,3.3,0,5,32,5
240,07/20/2024,Cambridge,2139,Home Catering,Pickup,8.54,40.23,42,3.4,0,5,32,2
241,03/30/2024,Worcester,1608,Home Catering,Pickup,14.21,57.34,57,4.7,0,3,73,0
242,08/22/2024,Cambridge,2139,Home Catering,Pickup,2.93,149.89,61,3.5,1,4,106,1
243,03/02/2024,Providence,2903,Home Catering,Self Delivery,9.49,104.18,39,4.7,0,1,64,1
244,09/22/2024,Salem,1970,Home Catering,Self Delivery,13.29,196.47,48,3.7,0,3,10,2
245,08/23/2024,Nashua,3060,Home Catering,Self Delivery,7.72,121.91,82,4.7,1,4,37,3
246,06/10/2024,Portland,4101,Home Catering,Self Delivery,3.0,142.98,66,4.2,1,4,47,3
247,01/05/2024,Nashua,3060,Home Catering,Self Delivery,8.55,64.2,54,4.2,1,3,56,1
248,01/07/2024,Worcester,1608,Home Catering,Self Delivery,2.95,33.61,50,3.8,1,2,40,1
249,04/17/2024,Portland,4101,Home Catering,Self Delivery,10.36,189.4,87,3.9,0,2,64,0
250,07/13/2024,Lowell,1852,Home Catering,Self Delivery,2.81,40.65,36,3.4,0,3,30,1
251,10/24/2024,Lowell,1852,Home Catering,Self Delivery,13.56,125.77,46,4.6,1,3,31,2
252,02/21/2024,Springfield,1103,Home Catering,Self Delivery,4.17,85.47,37,3.5,0,4,57,3
253,06/15/2024,Manchester,3103,Home Catering,Self Delivery,12.49,92.45,51,4.9,0,0,39,0
254,07/04/2024,Providence,2903,Home Catering,Self Delivery,13.46,128.16,51,4.8,1,2,65,1
255,05/12/2024,Salem,1970,Home Catering,Self Delivery,5.84,73.17,70,3.8,1,4,22,2
256,04/05/2024,Salem,1970,Home Catering,Self Delivery,13.78,176.14,20,4.8,1,2,90,1
257,10/07/2024,Manchester,3103,Home Catering,Self Delivery,4.77,173.19,87,4.5,1,4,34,2
258,05/14/2024,Nashua,3060,Home Catering,Self Delivery,14.91,38.71,54,3.5,0,3,55,0
259,05/01/2024,Nashua,3060,Home Catering,Self Delivery,1.1,148.47,30,4.6,1,2,51,3
260,05/17/2024,Salem,1970,Home Catering,Self Delivery,12.53,57.67,57,5.0,0,3,38,2
261,08/29/2024,Concord,3301,Home Catering,Pickup,13.13,134.54,85,4.8,1,7,42,4
262,06/24/2024,Concord,3301,Home Catering,Self Delivery,11.61,111.31,20,3.0,0,3,61,2
263,07/06/2024,Worcester,1608,Home Catering,Self Delivery,3.55,150.61,25,4.4,1,5,54,5
264,04/04/2024,Boston,2118,Home Catering,Pickup,1.84,72.43,62,4.6,1,8,55,4
265,09/12/2024,Concord,3301,Home Catering,Self Delivery,2.88,164.63,52,3.5,0,1,51,1
266,08/05/2024,Portland,4101,Home Catering,Self Delivery,10.25,160.22,74,4.6,1,2,42,3
267,04/17/2024,Cambridge,2139,Home Catering,Pickup,12.4,74.26,23,4.8,0,2,101,1
268,08/02/2024,Salem,1970,Home Catering,Pickup,4.45,150.07,56,3.1,1,1,73,1
269,07/09/2024,Portland,4101,Home Catering,Pickup,11.63,49.08,65,3.0,0,3,36,1
270,07/05/2024,Manchester,3103,Home Catering,Self Delivery,6.75,194.1,47,3.8,0,4,61,0
